"Name","Location","Function Signature","Function Size"
"FUN_000035ca","000035ca","undefined FUN_000035ca(undefined param_1\, undefined param_2\, undefined param_3\, undefined param_4\, undefined4 param_5)","98"
"FUN_0000362c","0000362c","undefined FUN_0000362c()","22"
"FUN_00003642","00003642","undefined FUN_00003642(undefined param_1\, undefined param_2\, undefined param_3\, undefined param_4\, undefined4 param_5)","98"
"boot_usb_enumerate","000036a4","undefined boot_usb_enumerate()","310"
"FUN_000037da","000037da","undefined FUN_000037da()","32"
"FUN_000037fa","000037fa","undefined FUN_000037fa()","28"
"FUN_00003816","00003816","undefined FUN_00003816()","32"
"FUN_00003836","00003836","undefined FUN_00003836()","28"
"FUN_00003852","00003852","undefined FUN_00003852()","22"
"FUN_00003868","00003868","undefined FUN_00003868()","16"
"FUN_00003888","00003888","undefined FUN_00003888()","150"
"mdelay","0000391e","undefined mdelay()","30"
"FUN_0000393c","0000393c","undefined FUN_0000393c()","16"
"FUN_0000394c","0000394c","undefined FUN_0000394c()","36"
"boot_erase_through_1d000","00003970","undefined boot_erase_through_1d000()","36"
"boot_write_sector_to_flash","00003994","undefined boot_write_sector_to_flash()","48"
"boot_upgrade_from_usb","000039c4","undefined boot_upgrade_from_usb()","96"
"boot_emergency_mode","00003a24","undefined boot_emergency_mode()","60"
"boot_sflash_read_sector","00003a60","undefined boot_sflash_read_sector()","102"
"boot_program_1d800","00003ac6","undefined boot_program_1d800()","38"
"boot_normal","00003aec","undefined boot_normal()","300"
"boot_main","00003c18","undefined boot_main()","36"
"FUN_00003c68","00003c68","undefined FUN_00003c68()","74"
"FUN_0000a0e4","0000a0e4","undefined FUN_0000a0e4()","8"
"main","0000a0ec","thunk undefined main()","4"
"FUN_0000a0f8","0000a0f8","undefined FUN_0000a0f8()","96"
"FUN_0000a158","0000a158","undefined FUN_0000a158()","328"
"FUN_0000a2a0","0000a2a0","undefined FUN_0000a2a0()","122"
"GPPAdvInit","0000a31a","undefined GPPAdvInit()","102"
"FUN_0000a380","0000a380","undefined FUN_0000a380()","46"
"FUN_0000a3ae","0000a3ae","undefined FUN_0000a3ae()","42"
"FUN_0000a554","0000a554","undefined FUN_0000a554()","202"
"FUN_0000a61e","0000a61e","undefined FUN_0000a61e()","64"
"FUN_0000a65e","0000a65e","undefined FUN_0000a65e()","262"
"FUN_0000a76a","0000a76a","undefined FUN_0000a76a()","386"
"gpp_sw_init","0000a928","undefined gpp_sw_init()","194"
"main","0000aa08","undefined main()","18"
"FUN_0000aa1c","0000aa1c","undefined FUN_0000aa1c()","58"
"FUN_0000aa56","0000aa56","undefined FUN_0000aa56()","44"
"usb_cry_unsupported","0000aa82","undefined usb_cry_unsupported()","54"
"usb_ui_updates","0000aab8","undefined usb_ui_updates()","170"
"FUN_0000ab62","0000ab62","undefined FUN_0000ab62()","210"
"display_uart_stats","0000ac34","undefined display_uart_stats()","142"
"FUN_0000acc2","0000acc2","undefined FUN_0000acc2()","124"
"mainloop","0000ad3e","undefined mainloop()","192"
"FUN_0000af44","0000af44","undefined FUN_0000af44()","2"
"FUN_0000afa8","0000afa8","undefined FUN_0000afa8()","1"
"FUN_0000afba","0000afba","undefined FUN_0000afba()","12"
"PWM_Init","0000afdc","void PWM_Init(int param_1\, int param_2\, byte * param_3)","130"
"FUN_0000b05e","0000b05e","undefined FUN_0000b05e()","1"
"PWM_Cmd","0000b082","void PWM_Cmd(int param_1\, int param_2)","28"
"PWM_CounterCmd","0000b09e","void PWM_CounterCmd(int param_1\, int param_2)","28"
"PWM_ResetCounter","0000b0ba","void PWM_ResetCounter(int param_1)","24"
"PWM_ConfigMatch","0000b0d2","void PWM_ConfigMatch(int param_1\, byte * param_2)","140"
"FUN_0000b15e","0000b15e","undefined FUN_0000b15e()","146"
"FUN_0000b1f0","0000b1f0","undefined FUN_0000b1f0()","26"
"PWM_MatchUpdate","0000b20a","void PWM_MatchUpdate(int param_1\, uint param_2\, undefined4 param_3\, int param_4)","90"
